strategy,category,overall_sharpe,overall_return,bias_adj_sharpe,BULL_sharpe,BULL_return,BULL_days,BEAR_sharpe,BEAR_return,BEAR_days
BuyAndHold,baseline,0.5000383268640695,0.12889974288531936,0.4156671615544377,1.4860929625872599,0.2892655012594534,1525,-0.8762194994905568,-0.09410583272329598,305
SMA200,baseline,1.5279336382770048,0.27906123011388306,1.4320627830854833,1.8434826988838762,0.363039787958767,1525,-72.84837100950185,-0.0014764170568682955,305
GoldenCrossBaseline,baseline,0.41950846041791545,0.10490889254579372,0.32256293170119554,1.4610588086051863,0.2644699019690804,1525,-2.0471998451148465,-0.03174778641840881,305
GoldenCross,trend_following,0.5569905532505826,0.127987405397477,0.462035391645166,1.4777847232132881,0.2852678129765982,1525,-297.83547135770095,-0.00021290881089819358,305
MACDTrend,trend_following,2.5772651345547963,0.5173390586634257,2.4962766289701728,2.429289533856709,0.39292806849578477,1525,4.399395896759119,1.1734600606362342,305
ADXBreakout,trend_following,0.7685004579615261,0.16135312870587226,0.6735090309389685,0.7311736433405276,0.12798455474970538,1525,0.5056191041099513,0.14469175606021278,305
Ichimoku,trend_following,4.003143465161446,0.6548379806025155,3.905480090627267,4.658168070964406,0.5428185871601101,1525,3.0192563796115475,0.6663039656940111,305
ParabolicSAR,trend_following,4.709350497253087,0.9827157297935019,4.634417773393404,4.990746133460414,0.8480286824092966,1525,4.476066092231397,1.2760229273357542,305
DonchianBreakout,trend_following,6.1291401360515785,0.754131579711663,6.000400412655094,6.248273601574344,0.5546646522881613,1525,9.534543806122985,1.3664209944872234,305
RSIReversal,mean_reversion,-3.145179003439366,-0.12201431862452239,-3.4363735438486462,-3.117286054237008,-0.0932392234896996,1525,-3.3556801702425414,-0.11696664627063313,305
BollingerBounce,mean_reversion,-2.8331633879819234,-0.1719022969764833,-3.0337154887665845,-3.6126341418369936,-0.12334744790431751,1525,-3.2062533307624896,-0.1947852571672769,305
Stochastic,mean_reversion,0.7499967582906422,0.10012988175835447,0.5629025707522382,0.3948488814697823,0.06165785901250276,1525,2.0164825859891087,0.2979086788253047,305
WilliamsR,mean_reversion,-3.6541787013579885,-0.3587599374322018,-3.7916365434705486,-4.264724698276542,-0.2869998837590847,1525,-3.755318484326481,-0.49576191017549787,305
CCIReversal,mean_reversion,-3.4778610849161606,-0.26108949987552676,-3.651124902801903,-3.842136500480117,-0.21905422366495397,1525,-3.792969099833003,-0.390600476314675,305
ATRBreakout,volatility,4.57604533374811,0.48639468425833776,4.4222785385178645,4.7507589638153425,0.4046284937109643,1525,4.914898400029056,0.5187919937256502,305
KeltnerBreakout,volatility,4.897261708494289,0.5501135225732965,4.7532566539784895,5.184913365864745,0.41706056585592455,1525,5.364303730589794,0.6145953872719576,305
VolTargeting,volatility,0.5000383268640695,0.12889974288531936,0.4156671615544377,1.4860929625872599,0.2892655012594534,1525,-0.8762194994905568,-0.09410583272329598,305
BBSqueeze,volatility,6.5256722505383795,0.6966797316440598,6.376611636907118,6.9360023053846245,0.6073040921615946,1525,7.4767435164044524,1.0580268400620905,305
Momentum,momentum,-0.26681430573536896,0.002489586299774027,-0.37351039866612823,0.40541369730540483,0.08758769381572828,1525,-0.6187989339752553,-0.07689680050242276,305
AroonTrend,momentum,0.47024213820596766,0.10640920685587729,0.36402746697224164,0.3665621358152637,0.07826444992709214,1525,0.7044627156260542,0.1711805669853319,305
TRIXTrend,momentum,-0.5339393017080459,-0.02135989903531188,-0.664465747343355,-0.9843236404280594,-0.05197366810855231,1525,-0.07291546590831677,0.02918332222665443,305
OBVConfirmation,volume,3.5595632580691268,0.6868563675729402,3.4770202832331925,3.6154055252026716,0.548292821628843,1525,4.310203049455149,1.1055192056079246,305
MFIReversal,volume,-2.633930965802101,-0.04389364798466289,-3.104872037458138,-3.1338051476348325,-0.037815836003222136,1525,-1.4393900323806916,0.011430834811941626,305
VWAPReversion,volume,-3.1047862678820928,-0.25392578217863204,-3.2632337292549356,-3.647031303430747,-0.19405359754721907,1525,-3.237237930680448,-0.3247671971758427,305
